orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,25,13,3,gfpga_pad_IO_A2F[195],,,,
TOP,25,13,4,gfpga_pad_IO_A2F[196],,,,
TOP,25,13,5,gfpga_pad_IO_A2F[197],,,,
TOP,25,13,6,gfpga_pad_IO_A2F[198],,,,
TOP,25,13,7,gfpga_pad_IO_A2F[199],,,,
TOP,25,13,8,gfpga_pad_IO_A2F[200],,,,
TOP,25,13,9,gfpga_pad_IO_A2F[201],,,,
TOP,25,13,10,gfpga_pad_IO_A2F[202],,,,
TOP,25,13,11,gfpga_pad_IO_A2F[203],,,,
TOP,25,13,12,gfpga_pad_IO_A2F[204],,,,
TOP,25,13,13,gfpga_pad_IO_A2F[205],,,,
TOP,25,13,14,gfpga_pad_IO_A2F[206],,,,
TOP,25,13,15,gfpga_pad_IO_A2F[207],,,,
TOP,25,14,0,gfpga_pad_IO_A2F[208],,,,
TOP,25,14,1,gfpga_pad_IO_A2F[209],,,,
TOP,25,14,2,gfpga_pad_IO_A2F[210],,,,
TOP,25,14,3,gfpga_pad_IO_A2F[211],,,,
TOP,25,14,4,gfpga_pad_IO_A2F[212],,,,
TOP,25,14,5,gfpga_pad_IO_A2F[213],,,,
TOP,25,14,6,gfpga_pad_IO_A2F[214],,,,
TOP,25,14,7,gfpga_pad_IO_A2F[215],,,,
TOP,25,14,8,gfpga_pad_IO_A2F[216],,,,
TOP,25,14,9,gfpga_pad_IO_A2F[217],,,,
TOP,25,14,10,gfpga_pad_IO_A2F[218],,,,
TOP,25,14,11,gfpga_pad_IO_A2F[219],,,,
TOP,25,14,12,gfpga_pad_IO_A2F[220],,,,
TOP,25,14,13,gfpga_pad_IO_A2F[221],,,,
TOP,25,14,14,gfpga_pad_IO_A2F[222],,,,
TOP,25,14,15,gfpga_pad_IO_A2F[223],,,,
TOP,25,15,0,gfpga_pad_IO_A2F[224],,,,
TOP,25,15,1,gfpga_pad_IO_A2F[225],,,,
TOP,25,15,2,gfpga_pad_IO_A2F[226],,,,
TOP,25,15,3,gfpga_pad_IO_A2F[227],,,,
